,noticeId,title,solicitationNumber,fullParentPathName,fullParentPathCode,postedDate,type,baseType,archiveType,archiveDate,typeOfSetAsideDescription,typeOfSetAside,responseDeadLine,naicsCode,naicsCodes,classificationCode,active,award,pointOfContact,description,organizationType,officeAddress,placeOfPerformance,additionalInfoLink,uiLink,links,resourceLinks
0,3d43e6bff62a49f9bf979beb1cd6b3f9,A/E Electrification Study,ISD-349281-SCM,"ENERGY, DEPARTMENT OF.ENERGY, DEPARTMENT OF.FERMILAB - DOE CONTRACTOR",089.8900.899034,2024-02-19,Solicitation,Solicitation,auto15,2024-03-23,,,2024-03-08T17:00:00-06:00,541330,['541330'],C1DB,Yes,,"[{'fax': '', 'type': 'primary', 'email': 'smercil@fnal.gov', 'phone': '4255838207', 'title': None, 'fullName': 'Seth Mercil'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=3d43e6bff62a49f9bf979beb1cd6b3f9,OFFICE,"{'zipcode': '60510', 'city': 'Batavia', 'countryCode': 'USA', 'state': 'IL'}","{'city': {'code': '4078', 'name': 'Batavia'}, 'state': {'code': 'IL', 'name': 'Illinois'}, 'zip': '60510', 'country': {'code': 'USA', 'name': 'UNITED STATES'}}",,https://sam.gov/opp/3d43e6bff62a49f9bf979beb1cd6b3f9/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=3d43e6bff62a49f9bf979beb1cd6b3f9&limit=1'}]","['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2e2c896e45124c30b506f25ea42ed0f8/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2ff32b75b7104c37a358f4289cd2d58e/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/5ea654ea27f34f208cba919e56a4526d/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/b83387ad142a4aaa83bba7bd5699094e/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/dfb7a257d91344e190c04b9e83c1b299/download?api_key=null&token=']"
1,f21f726c8c0746359dec49e82ab8a6ec,"Justification for an Exception to Fair Opportunity, Engineering Services During the Construction (ESDC) of BFF Crane Refurbishment",80KSC024FA001,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION.NATIONAL AERONAUTICS AND SPACE ADMINISTRATION.NASA KENNEDY SPACE CENTER,080.8000.80KSC0,2024-02-16,Justification,Justification,auto30,2024-03-17,,,,541330,['541330'],C220,Yes,"{'date': '2024-02-02', 'number': '80KSC022DA114'}","[{'fax': None, 'type': 'primary', 'email': 'jose.i.torres@nasa.gov', 'phone': None, 'title': None, 'fullName': 'Jose Torres'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=f21f726c8c0746359dec49e82ab8a6ec,OFFICE,"{'zipcode': '32899', 'city': 'KENNEDY SPACE CENTER', 'countryCode': 'USA', 'state': 'FL'}","{'city': {'code': '53000', 'name': 'Orlando'}, 'state': {'code': 'FL', 'name': 'Florida'}, 'zip': '32899', 'country': {'code': 'USA', 'name': 'UNITED STATES'}}",,https://sam.gov/opp/f21f726c8c0746359dec49e82ab8a6ec/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=f21f726c8c0746359dec49e82ab8a6ec&limit=1'}]",['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/110092da27c84090ae6915a4944c3bab/download?api_key=null&token=']
2,cb72ac2daa1b470199ff2bc7152d0384,H142--FY24  Viera OPC Lightning Protection System,36C24824Q0583,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.248-NETWORK CONTRACT OFFICE 8 (36C248)",036.3600.36C248,2024-02-16,Presolicitation,Presolicitation,autocustom,2024-03-12,Total Small Business Set-Aside (FAR 19.5),SBA,2024-02-26T16:00:00-05:00,541330,['541330'],H142,Yes,{'awardee': {}},"[{'fax': '', 'type': 'primary', 'email': 'victoria.roblesburgos@va.gov', 'phone': '407-646-4282', 'title': 'Contracting Officer', 'fullName': 'Victoria Robles'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=cb72ac2daa1b470199ff2bc7152d0384,OFFICE,"{'zipcode': '33637', 'city': 'TAMPA', 'countryCode': 'USA', 'state': 'FL'}","{'streetAddress': 'Viera VA Clinic 2900 Veterans Way', 'streetAddress2': '', 'city': {'name': 'Melbourne'}, 'state': {'code': 'FL', 'name': 'Florida'}, 'zip': '32940', 'country': {'code': 'USA', 'name': 'UNITED STATES'}}",,https://sam.gov/opp/cb72ac2daa1b470199ff2bc7152d0384/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=cb72ac2daa1b470199ff2bc7152d0384&limit=1'}]",['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d123294bdee048bfa07bc8a5fa0e4407/download?api_key=null&token=']
3,a36bc46b47d84f869c4e18ce0773f92a,Bradley and AMPV Power Diagnostic and Optic STS Services,W56HZV-23-R-0093,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-CTRS.ACC WRN.W4GG HQ US ARMY TACOM,021.2100.AMC.ACC.ACC-CTRS.ACC WRN.W56HZV,2024-02-16,Solicitation,Solicitation,auto15,2024-04-06,,,2024-03-22T17:00:00-04:00,541330,['541330'],R425,Yes,,"[{'fax': '', 'type': 'primary', 'email': 'michael.w.shumar.civ@army.mil', 'phone': '', 'title': None, 'fullName': 'Michael Shumar'}, {'fax': '', 'type': 'secondary', 'email': 'katherine.m.berels.civ@army.mil', 'phone': '', 'title': None, 'fullName': 'Katherine M. Berels'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=a36bc46b47d84f869c4e18ce0773f92a,OFFICE,"{'zipcode': '48397-5000', 'city': 'DETROIT ARSENAL', 'countryCode': 'USA', 'state': 'MI'}","{'city': {'code': '43975', 'name': 'Melbourne'}, 'state': {'code': 'FL', 'name': 'Florida'}, 'country': {'code': 'USA', 'name': 'UNITED STATES'}}",,https://sam.gov/opp/a36bc46b47d84f869c4e18ce0773f92a/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=a36bc46b47d84f869c4e18ce0773f92a&limit=1'}]",['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f043b03081d04564b9bca3c1c16de9d0/download?api_key=null&token=']
4,a0e40dc97d9a4824962c302002589736,GAOA Anan Wildlife Observatory Reconstruction Phase 2 - Engineering Services During Construction,1240BH24Q0009,"AGRICULTURE, DEPARTMENT OF.FOREST SERVICE.TONGASS NATIONAL FOREST",012.12C2.120112,2024-02-16,Special Notice,Special Notice,autocustom,2024-02-27,,,,541330,['541330'],C1PA,Yes,,"[{'fax': '', 'type': 'primary', 'email': 'darcy.rapoza@usda.gov', 'phone': '', 'title': None, 'fullName': 'Darcy Rapoza'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=a0e40dc97d9a4824962c302002589736,OFFICE,"{'zipcode': '99833', 'city': 'PETERSBURG', 'countryCode': 'USA', 'state': 'AK'}","{'city': {'code': '86380', 'name': 'Wrangell'}, 'state': {'code': 'AK', 'name': 'Alaska'}, 'country': {'code': 'USA', 'name': 'UNITED STATES'}}",,https://sam.gov/opp/a0e40dc97d9a4824962c302002589736/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=a0e40dc97d9a4824962c302002589736&limit=1'}]",
5,9d41bee2f3024a70bca8bb9693f30006,Manufactured Housing Installation Program Services,APP-H-2024-051,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF.HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF.CPO : RESEARCH AND COMMUNITY SUPPOR",086.8600.866157,2024-02-16,Sources Sought,Sources Sought,autocustom,2024-03-04,,,2024-03-04T17:00:00-05:00,541330,['541330'],R425,Yes,,"[{'fax': '', 'type': 'primary', 'email': 'Tracy.R.Davenport@hud.gov', 'phone': '202-402-5086', 'title': None, 'fullName': 'Tracy Davenport'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=9d41bee2f3024a70bca8bb9693f30006,OFFICE,"{'zipcode': '20410', 'city': 'WASHINGTON', 'countryCode': 'USA', 'state': 'DC'}","{'city': {'code': '50000', 'name': 'Washington'}, 'state': {'code': 'DC', 'name': 'District of Columbia'}, 'zip': '20410', 'country': {'code': 'USA', 'name': 'UNITED STATES'}}",,https://sam.gov/opp/9d41bee2f3024a70bca8bb9693f30006/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=9d41bee2f3024a70bca8bb9693f30006&limit=1'}]",['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/7454d64275144db7902df6482159fb54/download?api_key=null&token=']
6,7b17ce1833ba463d98a5604d2acfb4f3,H142--FY24  Viera OPC Lightning Protection System,36C24824Q0583,"VETERANS AFFAIRS, DEPARTMENT OF.VETERANS AFFAIRS, DEPARTMENT OF.248-NETWORK CONTRACT OFFICE 8 (36C248)",036.3600.36C248,2024-02-16,Solicitation,Presolicitation,autocustom,2024-03-12,,,2024-02-26T16:00:00-05:00,541330,['541330'],H142,Yes,{'awardee': {}},"[{'fax': None, 'type': 'primary', 'email': 'Victoria.RoblesBurgos@va.gov', 'phone': None, 'title': 'Contracting Officer', 'fullName': 'Victoria   Robles Burgos'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=7b17ce1833ba463d98a5604d2acfb4f3,OFFICE,"{'zipcode': '33637', 'city': 'TAMPA', 'countryCode': 'USA', 'state': 'FL'}","{'city': {}, 'state': {}, 'country': {}}",,https://sam.gov/opp/7b17ce1833ba463d98a5604d2acfb4f3/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=7b17ce1833ba463d98a5604d2acfb4f3&limit=1'}]",['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/fc4d423e918b41d891161573c6985083/download?api_key=null&token=']
7,7830bbbcf4bc48d2afba6a7e4d881888,Restoration/Modernization of AEDC 1T Wind Tunnel,FA910124RestoreModern1TWT,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE TEST CENTER.FA9101  AEDC PKP   PROCRMNT BR,057.5700.AFMC.AFTC.FA9101,2024-02-16,Sources Sought,Sources Sought,auto15,2024-03-11,,,2024-02-25T13:00:00-06:00,541330,['541330'],,Yes,,"[{'fax': '', 'type': 'primary', 'email': 'brooke.vandeman@us.af.mil', 'phone': '', 'title': None, 'fullName': 'Brooke Vandeman'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=7830bbbcf4bc48d2afba6a7e4d881888,OFFICE,"{'zipcode': '37389-1332', 'city': 'ARNOLD AFB', 'countryCode': 'USA', 'state': 'TN'}","{'city': {'code': '0', 'name': 'Arnold AFB'}, 'state': {'code': 'TN', 'name': 'Tennessee'}, 'country': {'code': 'USA', 'name': 'UNITED STATES'}}",,https://sam.gov/opp/7830bbbcf4bc48d2afba6a7e4d881888/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=7830bbbcf4bc48d2afba6a7e4d881888&limit=1'}]","['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/643db24669a7497292698bd7322176c5/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/676fcb272f8b49b9b5a84ce0f5eae0b8/download?api_key=null&token=']"
8,4b2fa63ac18a4c32b99bb5c42d12db65,"Antarctic Research Vessel (ARV) Integrator, Solicitation",49100423R0010,NATIONAL SCIENCE FOUNDATION.NATIONAL SCIENCE FOUNDATION.OFFICE OF POLAR PROGRAMS,049.4900.490609,2024-02-16,Solicitation,Presolicitation,auto15,2024-04-16,,,2024-04-01T16:00:00-04:00,541330,['541330'],C216,Yes,,"[{'fax': None, 'type': 'primary', 'email': 'arv.procurement@nsf.gov', 'phone': None, 'title': None, 'fullName': 'National Science Foundation ARV Procurement'}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=4b2fa63ac18a4c32b99bb5c42d12db65,OFFICE,"{'zipcode': '22314', 'city': 'ALEXANDRIA', 'countryCode': 'USA', 'state': 'VA'}","{'country': {'code': 'USA', 'name': 'UNITED STATES'}}",,https://sam.gov/opp/4b2fa63ac18a4c32b99bb5c42d12db65/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=4b2fa63ac18a4c32b99bb5c42d12db65&limit=1'}]","['https://sam.gov/api/prod/opps/v3/opportunities/resources/files/2cdf33681fc6491fb4594c8b6bbd2463/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/6e30c1e49cba4ebd9b826e39c734c75c/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/881aded61ee541f28ebc36f5699b2177/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/8e949b57fb9d45818a9bcd06c05fc298/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/d12f3b7027934bf4bee6de9fc3d40431/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/e4a452c20c5442ea84a35544be027005/download?api_key=null&token=', 'https://sam.gov/api/prod/opps/v3/opportunities/resources/files/f2ee1c9904b6438f8bd602e3631216c5/download?api_key=null&token=']"
9,48bc997ed15749b6930f134024058f10,Multiple Award Schedule,47QSMD20R0001,GENERAL SERVICES ADMINISTRATION.FEDERAL ACQUISITION SERVICE.GSA/FAS FURNITURE SYSTEMS MGT DIV,047.4732.47QSMA,2024-02-16,Award Notice,Combined Synopsis/Solicitation,autocustom,2029-02-15,,,2024-02-16T11:12:13-05:00,541330,['541330'],99,Yes,"{'date': '2024-02-16', 'number': '47QRAA24D003X', 'amount': '1500000', 'awardee': {'name': 'YULISTA TACTICAL SERVICES LLC', 'location': {'city': {'name': 'HUNTSVILLE'}, 'state': {'name': 'AL'}, 'zip': '35808-1336', 'country': {'code': 'USA', 'name': 'UNITED STATES'}}, 'ueiSAM': 'E3PXRWGLJ1H9', 'cageCode': '6WYV5'}}","[{'fax': None, 'type': 'primary', 'email': None, 'phone': None, 'title': None, 'fullName': 'Min Kim 253-931-7305  ; Cynthia A. Hayes 703-605-9224 '}]",https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=48bc997ed15749b6930f134024058f10,OFFICE,"{'zipcode': '19107', 'city': 'PHILADELPHIA', 'countryCode': 'USA', 'state': 'PA'}",,,https://sam.gov/opp/48bc997ed15749b6930f134024058f10/view,"[{'rel': 'self', 'href': 'https://api.sam.gov/prod/opportunities/v2/search?noticeid=48bc997ed15749b6930f134024058f10&limit=1'}]",
